Source Target
LibertarianLeft moderatepolitics
LibertarianLeft Anarchy101
LibertarianLeft Ask_Politics
LibertarianLeft AnythingGoesNews
LibertarianLeft Classical_Liberals
Bad_Cop_No_Donut AnythingGoesNews
Bad_Cop_No_Donut libertarianmeme
new_right EndlessWar
new_right AnythingGoesNews
IWantOut POLITIC
IWantOut AnythingGoesNews
SocialDemocracy Ask_Politics
LibertarianSocialism libertarianmeme
POLITIC GaryJohnson
POLITIC Ask_Politics
POLITIC AnythingGoesNews
moderatepolitics Ask_Politics
moderatepolitics AnythingGoesNews
moderatepolitics libertarianmeme
Cascadia Ask_Politics
Cascadia libertarianmeme
republicans EndlessWar
republicans PoliticalDiscussion
republicans Ask_Politics
republicans AnythingGoesNews
alltheleft AnythingGoesNews
ronpaul AmericanPolitics
voluntarism libertarianmeme
voluntarism Classical_Liberals
IWW Cascadia
Anarchism socialism
Anarchism progressive
Anarchism communism
Anarchism LibertarianSocialism
Anarchism Bad_Cop_No_Donut
Anarchism Cascadia
Anarchism Anarchy101
Anarchism AnythingGoesNews
EndlessWar Anarchy101
EndlessWar AnythingGoesNews
EndlessWar libertarianmeme
EndlessWar Classical_Liberals
restorethefourth Classical_Liberals
MensRights democrats
MensRights libertarianmeme
censorship Bad_Cop_No_Donut
censorship AnythingGoesNews
Economics democrats
Economics Ask_Politics
Economics libertarianmeme
Anarchy101 Ask_Politics
Anarchy101 AnythingGoesNews
PoliticalDiscussion Ask_Politics
Conservative PoliticalHumor
Conservative PoliticalDiscussion
Conservative libertarianmeme
Conservative SandersForPresident
Green MensRights
Green AmericanPolitics
Green LibertarianSocialism
Green Bad_Cop_No_Donut
Green Cascadia
Green EndlessWar
Green demsocialist
Green Anarchy101
Green alltheleft
Green AnythingGoesNews
Green libertarianmeme
PoliticalPhilosophy Ask_Politics
privacy progressive
privacy democrats
privacy libertarianmeme
PoliticalHumor democrats
PoliticalHumor Bad_Cop_No_Donut
PoliticalHumor AnythingGoesNews
PoliticalHumor libertarianmeme
PoliticalHumor SandersForPresident
PoliticalHumor Classical_Liberals
demsocialist AnythingGoesNews
demsocialist NeutralPolitics
demsocialist SandersForPresident
PoliticalScience Ask_Politics
centrist LibertarianLeft
centrist moderatepolitics
centrist Classical_Liberals
Agorism LibertarianSocialism
Agorism LibertarianLeft
Agorism Anarchy101
socialism progressive
