# Directed graph: graphs/2016-3comments-1000CommentCap-1000PostCap-deconvolved.txt 
# Nodes: 68 Edges: 139
# FromNodeId	ToNodeId
26496	57460
26496	101220
33670	101220
33670	111687
33670	129293
33670	255681
81034	101220
81034	129293
81034	291302
81034	472584
65175	67350
65175	76627
65175	101220
65175	129293
6488	21991
6488	98543
352643	564527
78596	81034
78596	101220
78596	112689
78596	129293
78596	188617
56986	65726
56986	98543
56986	112689
56986	255681
5917	65726
92319	101220
92319	112689
8845	67350
8845	81034
8845	188617
79856	587523
14427	111687
132261	291302
132261	472584
132261	587523
46769	188617
564527	587523
159152	587523
112689	129293
112689	255681
184	612
184	4856
184	9860
184	26496
184	81034
184	98543
184	111687
184	129293
184	188617
184	255681
70029	98543
70029	112689
70029	129293
70029	188617
70029	255681
52287	65726
578	5199
578	9860
578	26264
578	112689
7748	29840
7748	65726
7748	101220
7748	112689
7748	129293
69	215
69	612
69	1431
69	4856
69	5199
69	6418
69	9860
69	65726
69	67350
69	76627
69	98543
69	101220
69	112689
69	117558
69	129293
111687	129293
111687	472584
67618	98543
65272	67350
65272	81034
65272	112689
65272	117558
65272	132261
214	5199
214	26264
214	29840
214	57460
214	76627
214	111687
214	112689
214	587523
83416	129293
612	9860
612	65726
612	67350
612	101220
612	129293
612	255681
129115	472584
68960	78596
68960	81034
68960	101220
68960	112689
68960	129293
68960	255681
68960	291302
68960	472584
7931	65726
7931	81034
7931	188617
7931	472584
21991	81034
21991	98543
21991	117558
17512	67350
98543	117558
98543	129293
98543	255681
98543	472584
231025	472584
6804	26496
6804	111687
6804	188617
317307	472584
2557	4856
2557	29840
2557	65175
2557	65726
2557	81034
2557	111687
2557	188617
2557	317307
