# Undirected graph (each unordered pair of nodes is saved once): graphs/2017-3comments-1000CommentCap--_just-trolls.txt
# Nodes: 1067467 Edges: 33
# NodeId	NodeId
20	4856
20	6418
184	2557
184	9860
184	46769
1431	29840
1431	65726
1431	101220
1431	129293
1431	940404
2557	7931
2557	46769
4856	5199
4856	6418
4856	65726
4856	101220
5199	6418
6418	9860
6418	101220
6418	317307
7748	29840
9860	129293
29840	101220
57460	940404
65726	101220
65726	129293
65726	255681
68960	317307
101220	112689
101220	129293
101220	255681
111687	255681
111687	940404
