# Directed graph: graphs/2017-3comments-1000CommentCap--deconvolved_.txt 
# Nodes: 54 Edges: 89
# FromNodeId	ToNodeId
26496	67350
26496	70029
26496	98543
26496	101220
26496	940404
9860	101220
9860	111687
33670	65726
33670	101220
26887	29840
26887	101220
81034	98543
8845	111687
29840	57460
29840	98543
29840	101220
67350	98543
67350	101220
67350	111687
65175	98543
65175	111687
26264	65726
26264	76627
26264	98543
26264	101220
78596	101220
34	1431
14427	111687
14427	940404
46769	65175
184	2557
184	4856
184	7931
184	8845
184	9860
184	65175
184	70029
184	101220
65726	70029
65726	101220
65726	111687
65726	940404
255681	940404
578	6418
578	111687
7748	9860
7748	101220
69	6418
69	98543
69	111687
70029	98543
70029	101220
76627	98543
214	5199
214	76627
214	111687
214	317307
215	578
215	1431
215	8845
215	9860
215	65175
215	65726
215	68960
215	70029
215	78596
215	101220
215	111687
6488	98543
612	4856
612	6418
612	111687
5199	6418
5199	9860
5199	101220
5199	111687
5199	317307
5199	940404
68960	101220
68960	117558
68960	317307
21991	98543
17512	26496
17512	67350
17512	940404
6804	8845
6804	26496
6804	70029
2557	4856
