# Directed graph: graphs/2017-3comments-1000CommentCap--deconvolved_without_trolls.txt 
# Nodes: 54 Edges: 84
# FromNodeId	ToNodeId
26496	940404
9860	101220
9860	111687
33670	65726
33670	101220
26887	29840
26887	101220
81034	98543
8845	111687
29840	57460
29840	98543
29840	101220
67350	98543
67350	101220
67350	111687
65175	98543
26264	65726
26264	76627
26264	98543
26264	101220
78596	101220
34	1431
14427	111687
14427	940404
112689	129293
46769	65175
184	2557
184	7931
184	8845
184	9860
184	65175
184	70029
184	101220
65726	70029
65726	101220
65726	940404
255681	940404
578	6418
578	111687
69	6418
69	98543
69	111687
70029	98543
70029	101220
4856	5199
4856	6418
4856	9860
4856	29840
4856	65175
4856	65726
4856	67350
4856	68960
4856	78596
4856	81034
4856	98543
4856	117558
76627	98543
214	5199
214	76627
214	111687
215	578
215	1431
215	8845
215	9860
215	65175
215	65726
215	68960
215	70029
215	78596
215	101220
215	111687
6488	98543
612	6418
612	111687
5199	9860
68960	101220
68960	117558
21991	98543
17512	26496
17512	67350
17512	940404
6804	8845
6804	26496
6804	70029
