Source Target
privacy democrats
POLITIC Ask_Politics
centrist moderatepolitics
PoliticalPhilosophy Anarchy101
PoliticalPhilosophy Ask_Politics
Anarchism socialism
Anarchism progressive
Anarchism communism
Anarchism Bad_Cop_No_Donut
Anarchism Cascadia
Anarchism Anarchy101
IWantOut POLITIC
IWantOut AnythingGoesNews
voluntarism libertarianmeme
AnythingGoesNews libertarianmeme
EndlessWar libertarianmeme
socialism progressive
Conservative PoliticalDiscussion
Conservative libertarianmeme
Conservative SandersForPresident
Green Bad_Cop_No_Donut
Economics democrats
GaryJohnson moderatepolitics
GaryJohnson Classical_Liberals
PoliticalHumor democrats
PoliticalHumor libertarianmeme
PoliticalHumor SandersForPresident
LibertarianSocialism Cascadia
LibertarianSocialism moderatepolitics
LibertarianSocialism Anarchy101
LibertarianSocialism libertarianmeme
LibertarianSocialism Classical_Liberals
demsocialist alltheleft
demsocialist SocialDemocracy
demsocialist AnythingGoesNews
demsocialist SandersForPresident
new_right AnythingGoesNews
AmericanPolitics progressive
AmericanPolitics democrats
AmericanPolitics POLITIC
AmericanPolitics EndlessWar
AmericanPolitics Ask_Politics
AmericanPolitics AnythingGoesNews
MensRights libertarianmeme
MensRights AskTrumpSupporters
