# Undirected graph (each unordered pair of nodes is saved once): graphs/bipartite_connected_by_comment_folded_edgelist.txt
# Nodes: 46353 Edges: 265
# NodeId	NodeId
15	59
15	743
15	1276
15	1342
15	1551
15	2008
15	6823
15	11497
15	11808
15	22348
15	30728
28	59
28	175
28	176
28	393
28	743
28	1342
28	2008
28	3426
28	3735
28	6067
28	6823
28	7104
28	11808
28	12857
28	12958
28	14460
28	22348
28	33594
28	34419
28	37628
59	175
59	393
59	1276
59	1342
59	3484
59	3735
59	6723
59	7104
59	8730
59	11497
59	13406
59	22348
153	393
153	937
153	1752
153	3452
153	3735
153	6037
153	7590
153	9012
153	9762
153	18615
175	371
175	743
175	1342
175	3426
175	3735
175	6067
175	8730
175	11808
175	12857
175	13406
175	14707
175	16738
175	34419
176	6823
371	393
371	743
371	1342
371	2008
371	11808
371	12857
371	12958
393	1276
393	2008
393	3735
393	6037
393	6823
393	7590
393	11497
393	11808
393	12958
393	14460
393	22348
743	1276
743	1342
743	1551
743	3426
743	3735
743	7104
743	11497
743	11808
743	12857
743	12958
743	13406
743	14460
743	30728
937	1276
937	1752
937	1874
937	7590
937	9012
937	9379
937	18615
1276	1342
1276	1551
1276	2008
1276	3452
1276	3735
1276	6823
1276	7104
1276	7396
1276	8730
1276	9012
1276	9379
1276	11497
1276	11808
1276	12958
1276	13406
1276	14460
1276	18615
1276	22348
1276	25212
1342	1551
1342	2008
1342	3452
1342	3735
1342	6723
1342	7104
1342	7590
1342	8730
1342	11808
1342	12857
1342	12958
1342	14707
1342	22348
1342	30728
1342	34419
1551	2738
1551	3735
1551	6823
1551	7104
1551	8730
1551	9012
1551	9379
1551	11497
1551	11808
1551	12958
1551	25212
1603	2461
1731	6823
1731	11808
1752	7590
1752	9012
1752	9379
1752	18615
1874	7590
1874	9012
1874	18615
2008	3735
2008	7590
2008	11808
2008	12857
2008	14460
2008	22348
2738	14460
3080	11497
3426	6823
3426	7104
3426	11497
3426	11808
3426	14707
3426	30728
3426	34419
3426	37628
3452	3735
3452	6707
3452	7590
3452	9012
3452	9762
3452	11808
3484	12857
3735	6823
3735	7104
3735	8730
3735	11497
3735	11808
3735	12857
3735	12958
3735	13406
3735	14460
3735	14707
3735	22348
3735	34419
4068	5740
6037	7590
6067	6823
6067	11497
6067	12857
6067	22348
6067	33594
6707	6823
6707	9762
6707	12958
6723	9379
6723	13406
6823	9012
6823	9379
6823	11497
6823	11808
6823	12958
6823	14460
6823	22348
6823	33594
7104	11497
7104	11808
7104	12857
7104	13406
7104	22348
7396	9012
7396	9379
7396	12958
7590	9012
7590	9762
7590	11497
7590	14460
7590	18615
8730	11497
8730	13406
8730	22348
8730	25212
8730	34419
9012	9379
9012	11808
9012	12958
9379	14707
11497	12857
11497	13406
11497	14460
11497	14707
11497	25212
11808	12857
11808	12958
11808	14460
11808	22348
12857	13406
12857	14443
12857	14460
12857	22348
12857	30728
12857	34419
12958	14460
12958	22348
13406	25212
14460	22348
14460	26628
14707	16738
14707	26628
14707	30728
14707	33594
14707	34419
18615	30728
30728	33594
34419	37628
