# Undirected graph (each unordered pair of nodes is saved once): graphs/bipartite_connected_by_post_folded_edgelist.txt
# Nodes: 46353 Edges: 315
# NodeId	NodeId
15	28
15	393
15	743
15	937
15	1276
15	1342
15	1551
15	2008
15	3426
15	3735
15	6823
15	9012
15	11497
15	14707
15	16738
15	30728
28	175
28	325
28	796
28	937
28	1276
28	1551
28	3426
28	3735
28	6067
28	6823
28	11497
28	12857
28	14460
28	16738
28	25212
28	30728
28	33594
28	34419
59	153
59	175
59	176
59	371
59	393
59	937
59	1276
59	1342
59	1551
59	2008
59	3080
59	3426
59	3735
59	6723
59	6823
59	8730
59	12857
59	25212
59	34419
153	176
153	393
153	937
153	1276
153	1551
153	1752
153	1874
153	2008
153	3452
153	6037
153	6723
153	6823
153	7590
153	9012
153	9379
153	9762
153	11497
153	12857
153	12958
153	14460
153	18615
153	22348
153	25212
153	30728
175	371
175	743
175	937
175	1276
175	1342
175	1551
175	1731
175	3426
175	3735
175	4068
175	5740
175	6823
175	8730
175	11808
175	12857
175	16738
175	25212
175	30728
175	33594
175	34419
176	393
176	1551
176	1752
176	9012
176	9762
176	12958
176	25212
371	393
371	2008
371	3735
371	4068
393	937
393	1276
393	1551
393	1731
393	2008
393	3735
393	6037
393	10844
393	11497
393	12958
393	14460
393	22348
393	25212
743	1276
743	1342
743	1551
743	3426
743	3735
743	6823
743	7104
743	11808
743	14707
743	30728
937	1276
937	1342
937	1551
937	1752
937	2008
937	3080
937	3452
937	3484
937	3735
937	6037
937	6723
937	6823
937	7590
937	8730
937	9012
937	9379
937	11497
937	12958
937	18615
937	25212
937	33594
1276	1342
1276	1551
1276	1752
1276	2008
1276	3426
1276	3452
1276	3735
1276	6823
1276	7104
1276	7396
1276	9012
1276	9379
1276	11497
1276	11808
1276	12958
1276	22348
1276	25212
1342	1551
1342	1731
1342	1752
1342	2008
1342	3426
1342	3452
1342	3735
1342	6823
1342	7104
1342	8730
1342	9012
1342	11497
1342	12857
1342	13406
1342	14707
1342	16738
1342	25212
1342	30728
1342	33594
1342	34419
1551	2008
1551	2738
1551	3426
1551	3735
1551	6723
1551	6823
1551	7396
1551	8730
1551	9012
1551	11497
1551	11808
1551	14707
1551	25212
1551	30728
1551	33594
1603	2461
1731	2008
1731	10844
1731	14460
1752	3452
1752	7590
1752	8730
1752	9012
1752	9379
1752	18615
1874	3452
1874	9012
2008	3426
2008	6823
2008	8730
2008	11808
2008	12857
2008	12958
2008	14460
2008	14707
2008	22348
2008	25212
2709	7104
2738	3735
2738	7396
3080	11497
3426	5740
3426	6823
3426	7104
3426	8730
3426	9012
3426	11497
3426	13406
3426	14707
3426	16738
3426	30728
3426	33594
3426	34419
3426	37628
3452	7396
3452	9012
3452	16738
3484	11497
3735	6823
3735	7104
3735	11808
3735	30728
3735	33594
3735	34419
4068	5740
4068	34419
5429	30728
5740	6823
5740	16738
6067	8730
6067	11497
6067	12857
6723	6823
6723	8730
6723	11497
6723	14707
6723	34419
6823	9012
6823	11808
6823	12958
6823	14460
6823	22348
7059	9012
7104	8730
7104	11497
7104	13406
7104	16738
7104	30728
7396	9012
7396	9379
7396	16738
7590	9762
7590	18615
8730	11497
8730	13406
8730	14707
8730	25212
8730	34419
8730	37628
9012	9379
9012	9762
9012	12958
9012	30728
11497	13406
11497	25212
11497	33594
11497	37628
12857	13406
12857	14460
12958	14460
12958	22348
13406	25212
13406	34419
13406	37628
14707	16738
14707	30728
14707	33594
14707	37628
16738	30728
16738	33594
16738	34419
16738	37628
25212	30728
25212	37628
30728	33594
34419	37628
