# Directed graph: graphs/deconvolved_folded_edgelist.txt 
# Nodes: 56 Edges: 73
# FromNodeId	ToNodeId
393	1276
393	2008
393	6823
393	11497
393	11808
393	22348
371	393
371	743
371	1342
371	2008
371	11808
371	12857
371	12958
6707	6823
6707	9762
6707	12958
1731	6823
1731	11808
3735	6823
3735	11497
3735	11808
3735	22348
153	393
153	3735
8730	11497
8730	22348
8730	34419
28	59
28	743
28	1342
28	2008
28	6823
28	11808
28	22348
12958	22348
9379	14707
7590	11497
7590	14460
3484	12857
175	743
175	1342
175	11808
176	6823
3080	11497
2738	14460
6067	6823
6067	11497
6067	22348
9012	11808
9012	12958
18615	30728
12857	22348
12857	30728
7104	11497
7104	11808
7104	22348
14707	30728
14707	33594
14707	34419
14460	22348
1874	7590
1874	9012
1874	18615
3426	6823
3426	11497
3426	11808
3426	30728
7396	9012
7396	9379
7396	12958
937	1276
3452	3735
3452	11808
